fact_table_natural_key (txn_id),accm_txn_complete_time
1,2022-05-25 11:58:31
2,2022-05-20 20:53:37
3,2022-05-27 20:57:20
4,2022-05-21 14:16:40
5,2022-05-28 00:46:54
6,2022-05-25 05:23:46
7,2022-05-29 05:31:00
8,2022-05-22 04:29:16
9,2022-05-22 14:06:06
10,2022-05-26 11:41:08
11,2022-05-26 08:38:59
12,2022-05-23 16:35:45
13,2022-05-23 10:12:10
14,2022-05-28 06:21:51
15,2022-05-26 07:42:15
16,2022-05-23 14:56:14
17,2022-05-20 12:12:13
18,2022-05-29 22:36:18
19,2022-05-23 07:28:29
20,2022-05-24 02:13:20
21,2022-05-27 08:28:15
22,2022-05-20 18:02:42
23,2022-05-28 16:20:09
24,2022-05-28 00:49:00
25,2022-05-29 20:52:51
26,2022-05-26 17:36:44
27,2022-05-20 13:09:18
28,2022-05-23 08:41:36
29,2022-05-20 15:34:40
30,2022-05-23 05:16:56
31,2022-05-26 14:54:38
32,2022-05-20 17:01:23
33,2022-05-26 04:19:15
34,2022-05-27 22:50:40
35,2022-05-25 19:04:59
36,2022-05-27 09:35:40
37,2022-05-30 07:57:29
38,2022-05-23 06:19:06
39,2022-05-24 15:50:57
40,2022-05-28 08:20:03
41,2022-05-28 06:11:48
42,2022-05-29 16:15:51
43,2022-05-26 10:03:39
44,2022-05-30 02:34:54
45,2022-05-27 11:04:19
46,2022-05-26 05:38:06
47,2022-05-26 12:14:52
48,2022-05-27 06:08:16
49,2022-05-27 20:29:04
50,2022-05-27 15:18:27
51,2022-05-23 04:15:08
52,2022-05-28 22:22:43
53,2022-05-27 19:48:44
54,2022-05-25 21:38:07
55,2022-05-23 23:04:38
56,2022-05-25 06:14:33
57,2022-05-22 09:59:05
58,2022-05-22 08:33:26
59,2022-05-24 21:57:17
60,2022-05-24 13:25:55
61,2022-05-24 22:32:12
62,2022-05-26 18:43:43
63,2022-05-23 02:33:37
64,2022-05-20 13:35:27
65,2022-05-28 13:49:35
66,2022-05-23 00:27:28
67,2022-05-28 16:55:16
68,2022-05-25 02:29:13
69,2022-05-26 10:54:37
70,2022-05-23 00:44:37
71,2022-05-20 21:48:20
72,2022-05-25 11:58:37
73,2022-05-20 23:36:28
74,2022-05-29 00:37:48
75,2022-05-23 10:03:26
76,2022-05-22 10:02:04
77,2022-05-20 20:24:42
78,2022-05-28 07:31:48
79,2022-05-27 23:49:36
80,2022-05-24 17:28:08
81,2022-05-21 02:31:23
82,2022-05-26 04:18:19
83,2022-05-26 16:31:55
84,2022-05-22 23:24:38
85,2022-05-27 15:52:28
86,2022-05-23 01:34:21
87,2022-05-25 00:42:38
88,2022-05-27 03:14:10
89,2022-05-27 14:08:11
90,2022-05-26 09:01:32
91,2022-05-23 15:15:23
92,2022-05-22 09:10:03
93,2022-05-23 23:46:55
94,2022-05-26 23:47:04
95,2022-05-28 21:30:53
96,2022-05-29 10:43:36
97,2022-05-25 10:23:47
98,2022-05-24 11:23:55
99,2022-05-20 19:19:31
100,2022-05-26 18:06:02
101,2022-05-23 21:15:09
102,2022-05-21 06:18:32
103,2022-05-23 12:59:46
104,2022-05-28 21:23:54
105,2022-05-30 06:46:03
106,2022-05-29 05:33:02
107,2022-05-27 11:51:56
108,2022-05-23 11:19:19
109,2022-05-26 07:39:29
110,2022-05-26 02:07:44
111,2022-05-22 12:46:03
112,2022-05-29 12:12:10
113,2022-05-30 07:44:56
114,2022-05-26 20:45:51
115,2022-05-23 01:56:54
116,2022-05-28 08:15:18
117,2022-05-22 01:00:05
118,2022-05-24 04:22:48
119,2022-05-21 04:56:19
120,2022-05-24 03:13:23
121,2022-05-25 17:30:49
122,2022-05-26 07:38:57
123,2022-05-20 22:59:57
124,2022-05-28 05:10:55
125,2022-05-22 02:17:21
126,2022-05-29 03:37:16
127,2022-05-27 16:45:14
128,2022-05-27 12:22:14
129,2022-05-26 05:15:44
130,2022-05-22 13:06:06
131,2022-05-25 06:37:41
132,2022-05-23 03:56:26
133,2022-05-27 13:33:08
134,2022-05-21 23:08:33
135,2022-05-24 05:16:36
136,2022-05-28 17:52:32
137,2022-05-21 14:04:55
138,2022-05-22 12:10:36
139,2022-05-30 08:44:38
140,2022-05-29 01:44:38
141,2022-05-23 22:43:14
142,2022-05-25 08:15:33
143,2022-05-22 11:51:30
144,2022-05-26 10:48:44
145,2022-05-20 20:49:40
146,2022-05-26 13:07:05
147,2022-05-29 20:45:19
148,2022-05-29 21:48:24
149,2022-05-25 07:19:39
150,2022-05-28 07:31:54
151,2022-05-22 00:34:38
152,2022-05-26 01:47:56
153,2022-05-22 00:58:59
154,2022-05-21 08:10:37
155,2022-05-24 23:36:51
156,2022-05-23 04:11:06
157,2022-05-27 09:27:32
158,2022-05-27 11:29:24
159,2022-05-23 11:20:26
160,2022-05-26 15:10:50
161,2022-05-23 09:43:38
162,2022-05-29 08:03:28
163,2022-05-24 02:29:38
164,2022-05-24 06:50:17
